codigo_municipio;nome_municipio;uf;estado;latitude;longitude
353360;Nuporanga;SP;Sao Paulo;-20,7296;-47,7429
353370;Ocauçu;SP;Sao Paulo;-22,438;-49,922
353380;Óleo;SP;Sao Paulo;-22,9435;-49,3419
353390;Olímpia;SP;Sao Paulo;-20,7366;-48,9106
353400;Onda Verde;SP;Sao Paulo;-20,6042;-49,2929
353410;Oriente;SP;Sao Paulo;-22,1549;-50,0971
353420;Orindiúva;SP;Sao Paulo;-20,1861;-49,3464
353430;Orlândia;SP;Sao Paulo;-20,7169;-47,8852
353440;Osasco;SP;Sao Paulo;-23,5324;-46,7916
353450;Oscar Bressane;SP;Sao Paulo;-22,3149;-50,2811
353460;Osvaldo Cruz;SP;Sao Paulo;-21,7968;-50,8793
353470;Ourinhos;SP;Sao Paulo;-22,9797;-49,8697
353480;Ouro Verde;SP;Sao Paulo;-21,4872;-51,7024
353475;Ouroeste;SP;Sao Paulo;-20,0061;-50,3768
353490;Pacaembu;SP;Sao Paulo;-21,5627;-51,2654
353500;Palestina;SP;Sao Paulo;-20,39;-49,4309
353510;Palmares Paulista;SP;Sao Paulo;-21,0854;-48,8037
353520;Palmeira d'Oeste;SP;Sao Paulo;-20,4148;-50,7632
353530;Palmital;SP;Sao Paulo;-22,7858;-50,218
353540;Panorama;SP;Sao Paulo;-21,354;-51,8562
353550;Paraguaçu Paulista;SP;Sao Paulo;-22,4114;-50,5732
353560;Paraibuna;SP;Sao Paulo;-23,3872;-45,6639
353570;Paraíso;SP;Sao Paulo;-21,0159;-48,7761
353580;Paranapanema;SP;Sao Paulo;-23,3862;-48,7214
353590;Paranapuã;SP;Sao Paulo;-20,1048;-50,5886
353600;Parapuã;SP;Sao Paulo;-21,7792;-50,7949
353610;Pardinho;SP;Sao Paulo;-23,0841;-48,3679
353620;Pariquera-Açu;SP;Sao Paulo;-24,7147;-47,8742
353625;Parisi;SP;Sao Paulo;-20,3034;-50,0163
353630;Patrocínio Paulista;SP;Sao Paulo;-20,6384;-47,2801
353640;Paulicéia;SP;Sao Paulo;-21,3153;-51,8321
353650;Paulínia;SP;Sao Paulo;-22,7542;-47,1488
353657;Paulistânia;SP;Sao Paulo;-22,5768;-49,4008
353660;Paulo de Faria;SP;Sao Paulo;-20,0296;-49,4
353670;Pederneiras;SP;Sao Paulo;-22,3511;-48,7781
353680;Pedra Bela;SP;Sao Paulo;-22,7902;-46,4455
353690;Pedranópolis;SP;Sao Paulo;-20,2474;-50,1129
353700;Pedregulho;SP;Sao Paulo;-20,2535;-47,4775
353710;Pedreira;SP;Sao Paulo;-22,7413;-46,8948
353715;Pedrinhas Paulista;SP;Sao Paulo;-22,8174;-50,7933
353720;Pedro de Toledo;SP;Sao Paulo;-24,2764;-47,2354
353730;Penápolis;SP;Sao Paulo;-21,4148;-50,0769
