id_hospital;nome_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
2688611;Hospital CNES 2688611;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;3288;0;3288;05;;2046;Grande Porte;Baixa/Media Complexidade;0,0
2688638;Hospital CNES 2688638;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;192;192;0;07;;3999;Grande Porte;Baixa/Media Complexidade;100,0
2688689;Hospital CNES 2688689;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;13088;12936;152;05;;3999;Grande Porte;Baixa/Media Complexidade;98,84
2688700;Hospital CNES 2688700;350160;Americana;SP;Sao Paulo;-22,7374;-47,3331;960;0;960;05;;2054;Grande Porte;Baixa/Media Complexidade;0,0
2690764;Hospital CNES 2690764;352940;Mauá;SP;Sao Paulo;-23,6677;-46,4613;1380;0;1380;05;;2054;Grande Porte;Baixa/Media Complexidade;0,0
2698129;Hospital CNES 2698129;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;48;48;0;70;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
2698374;Hospital CNES 2698374;354120;Presidente Bernardes;SP;Sao Paulo;-22,0082;-51,5565;612;486;126;05;;3999;Grande Porte;Baixa/Media Complexidade;79,41
2698439;Hospital CNES 2698439;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;12;12;0;36;;1244;Micro Porte;Baixa/Media Complexidade;100,0
2698463;Hospital CNES 2698463;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;612;552;60;05;;1244;Grande Porte;Baixa/Media Complexidade;90,2
2698471;Hospital CNES 2698471;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;840;840;0;05;;1244;Grande Porte;Baixa/Media Complexidade;100,0
2699915;Hospital CNES 2699915;355670;Vinhedo;SP;Sao Paulo;-23,0302;-46,9833;1236;744;492;05;;3999;Grande Porte;Baixa/Media Complexidade;60,19
2701561;Hospital CNES 2701561;352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974;36;36;0;62;;3999;Pequeno Porte;Baixa/Media Complexidade;100,0
2702193;Hospital CNES 2702193;355540;Ubatuba;SP;Sao Paulo;-23,4332;-45,0834;1108;1004;104;05;;3999;Grande Porte;Baixa/Media Complexidade;90,61
2702622;Hospital CNES 2702622;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;324;0;324;07;;2062;Grande Porte;Baixa/Media Complexidade;0,0
2704900;Hospital CNES 2704900;350760;Bragança Paulista;SP;Sao Paulo;-22,9527;-46,5419;2892;1980;912;05;;3999;Grande Porte;Baixa/Media Complexidade;68,46
