id_hospital;codigo_municipio;nome_municipio_hospital;uf_hospital;estado_hospital;latitude_hospital;longitude_hospital;leitos_totais;leitos_sus;leitos_nao_sus;esfera;tipo_unidade;nivel_hierarquico;natureza_juridica;porte_hospitalar;alta_complexidade;percentual_sus
6785018;350660;Biritiba-Mirim;SP;Sao Paulo;-23,5698;-46,0407;13;13;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6788122;352050;Indaiatuba;SP;Sao Paulo;-23,0816;-47,2101;8;2;6;;05;;2062;Micro Porte;Baixa/Media Complexidade;25,0
6817203;350900;Caieiras;SP;Sao Paulo;-23,3607;-46,7397;47;0;47;;05;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
6817890;354100;Praia Grande;SP;Sao Paulo;-24,0084;-46,4121;146;0;146;;05;;3999;Medio Porte;Baixa/Media Complexidade;0,0
6821626;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;1;0;1;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6834183;352210;Itanhaém;SP;Sao Paulo;-24,1736;-46,788;1;1;0;;07;;2062;Micro Porte;Baixa/Media Complexidade;100,0
6861717;350810;Buritama;SP;Sao Paulo;-21,0661;-50,1475;6;0;6;;36;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6864953;354980;São José do Rio Preto;SP;Sao Paulo;-20,8113;-49,3758;5;0;5;;62;;2062;Micro Porte;Baixa/Media Complexidade;0,0
6878687;351640;Franco da Rocha;SP;Sao Paulo;-23,3229;-46,729;179;179;0;;05;;1023;Grande Porte;Baixa/Media Complexidade;100,0
6879799;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;8;8;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6894070;350600;Bauru;SP;Sao Paulo;-22,3246;-49,0871;1;0;1;;36;;2232;Micro Porte;Baixa/Media Complexidade;0,0
6919456;352940;Mauá;SP;Sao Paulo;-23,6677;-46,4613;15;15;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6938876;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;83;0;83;;05;;2054;Medio Porte;Baixa/Media Complexidade;0,0
6943284;350320;Araraquara;SP;Sao Paulo;-21,7845;-48,178;68;60;8;;07;;1279;Medio Porte;Baixa/Media Complexidade;88,24
6950043;352940;Mauá;SP;Sao Paulo;-23,6677;-46,4613;15;15;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
6950051;352940;Mauá;SP;Sao Paulo;-23,6677;-46,4613;14;14;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6964036;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;9;9;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6964656;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;8;8;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6966594;355100;São Vicente;SP;Sao Paulo;-23,9574;-46,3883;52;36;16;;07;;1244;Medio Porte;Baixa/Media Complexidade;69,23
6971199;352240;Itapeva;SP;Sao Paulo;-23,9788;-48,8764;7;7;0;;62;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6976794;351380;Diadema;SP;Sao Paulo;-23,6813;-46,6205;5;5;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6988938;354990;São José dos Campos;SP;Sao Paulo;-23,1896;-45,8841;212;0;212;;05;;2046;Grande Porte;Baixa/Media Complexidade;0,0
6992552;355500;Tupã;SP;Sao Paulo;-21,9335;-50,5191;4;4;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
6992560;352590;Jundiaí;SP;Sao Paulo;-23,1852;-46,8974;7;7;0;;36;;1023;Micro Porte;Baixa/Media Complexidade;100,0
6998178;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;7;7;0;;62;;1031;Micro Porte;Baixa/Media Complexidade;100,0
6998194;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;60;50;10;;05;;1031;Medio Porte;Baixa/Media Complexidade;83,33
6998704;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;158;151;7;;05;;1244;Grande Porte;Baixa/Media Complexidade;95,57
7019076;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;7;7;0;;62;;1031;Micro Porte;Baixa/Media Complexidade;100,0
7019661;351907;Hortolândia;SP;Sao Paulo;-22,8529;-47,2143;29;0;29;;05;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
7021461;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;20;20;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
7023979;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;5;5;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7024231;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;8;8;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
7024274;354850;Santos;SP;Sao Paulo;-23,9535;-46,335;14;0;14;;07;;2062;Micro Porte;Baixa/Media Complexidade;0,0
7044666;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;69;0;69;;05;;2054;Medio Porte;Baixa/Media Complexidade;0,0
7047517;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;23;23;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
7060165;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;126;0;126;;07;;3069;Medio Porte;Baixa/Media Complexidade;0,0
7060416;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;4;4;0;;20;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7066376;352480;Jales;SP;Sao Paulo;-20,2672;-50,5494;37;37;0;;07;;3069;Pequeno Porte;Baixa/Media Complexidade;100,0
7068913;351870;Guarujá;SP;Sao Paulo;-23,9888;-46,258;7;7;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7094132;354680;Santa Isabel;SP;Sao Paulo;-23,3172;-46,2237;14;14;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7096089;354870;São Bernardo do Campo;SP;Sao Paulo;-23,6914;-46,5646;6;6;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7101090;350760;Bragança Paulista;SP;Sao Paulo;-22,9527;-46,5419;4;0;4;;05;;2062;Micro Porte;Baixa/Media Complexidade;0,0
7103271;351670;Garça;SP;Sao Paulo;-22,2125;-49,6546;7;7;0;;73;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7111568;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;5;5;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
7113218;354780;Santo André;SP;Sao Paulo;-23,6737;-46,5432;22;22;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
7134290;350950;Campinas;SP;Sao Paulo;-22,9053;-47,0659;18;0;18;;05;;2240;Pequeno Porte;Baixa/Media Complexidade;0,0
7134665;351907;Hortolândia;SP;Sao Paulo;-22,8529;-47,2143;15;15;0;;73;;1244;Pequeno Porte;Baixa/Media Complexidade;100,0
7159102;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;12;0;12;;05;;2062;Micro Porte;Baixa/Media Complexidade;0,0
7165072;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;8;8;0;;70;;1031;Micro Porte;Baixa/Media Complexidade;100,0
7174691;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;66;0;66;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
7174705;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;97;0;97;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
7174713;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;117;0;117;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
7174721;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;106;0;106;;05;;2062;Medio Porte;Baixa/Media Complexidade;0,0
7182031;355030;São Paulo;SP;Sao Paulo;-23,5329;-46,6395;26;0;26;;07;;2062;Pequeno Porte;Baixa/Media Complexidade;0,0
7184344;354100;Praia Grande;SP;Sao Paulo;-24,0084;-46,4121;8;8;0;;70;;1244;Micro Porte;Baixa/Media Complexidade;100,0
7188676;353470;Ourinhos;SP;Sao Paulo;-22,9797;-49,8697;3;3;0;;62;;1023;Micro Porte;Baixa/Media Complexidade;100,0
